,District,State,Latitude,Longitude
0,North and Middle Andaman,Andaman and Nicobar Islands,12.61123865,92.83165406414926
1,South Andaman,Andaman and Nicobar Islands,10.7056905,92.48746789633373
2,Anantapur,Andhra Pradesh,14.6546235,77.55625984224562
3,Chittoor,Andhra Pradesh,13.1601048,79.15555061803596
4,East Godavari,Andhra Pradesh,17.233496,81.7225986
5,Guntur,Andhra Pradesh,16.2915189,80.4541588
6,Krishna,Andhra Pradesh,16.6691525,80.7190024
7,Kurnool,Andhra Pradesh,15.8309251,78.0425373
8,Prakasam,Andhra Pradesh,15.5,79.5
9,Srikakulam,Andhra Pradesh,18.32002205,83.91607719937166
10,Visakhapatnam,Andhra Pradesh,17.7231276,83.3012842
11,Vizianagaram,Andhra Pradesh,18.1120819,83.4052196224888
12,West Godavari,Andhra Pradesh,17.0,81.166667
13,Y.S.R. Kadapa,Andhra Pradesh,14.0585273,78.7535631
14,Anjaw,Arunachal Pradesh,28.1114301,96.82699963398373
15,Changlang,Arunachal Pradesh,27.1398402,95.7382485
16,East Kameng,Arunachal Pradesh,27.3,93.05
17,East Siang,Arunachal Pradesh,28.3,95.15
18,Kamle,Arunachal Pradesh,27.7312325,94.0964663257624
19,Kra Daadi,Arunachal Pradesh,27.96354175,93.76656538768381
20,Kurung Kumey,Arunachal Pradesh,27.98636765,93.15783468644102
21,Lepa Rada,Arunachal Pradesh,27.9211266,94.74093620019156
22,Lohit,Arunachal Pradesh,28.035016149999997,96.17135154220676
23,Longding,Arunachal Pradesh,26.879454600000003,95.3155652456941
24,Lower Dibang Valley,Arunachal Pradesh,28.21495625,95.87877403567019
25,Lower Siang,Arunachal Pradesh,27.80069825,94.56502334121075
26,Lower Subansiri,Arunachal Pradesh,27.8,93.6
27,Namsai,Arunachal Pradesh,27.71403055,96.01597093953018
28,Pakke Kessang,Arunachal Pradesh,27.15828555,93.15615024389129
29,Papum Pare,Arunachal Pradesh,27.286366649999998,93.61875168206382
30,Shi Yomi,Arunachal Pradesh,28.68516625,94.23678241115617
31,Siang,Arunachal Pradesh,28.477491999999998,94.81655728795752
32,Tawang,Arunachal Pradesh,27.5879186,91.863733
33,Tirap,Arunachal Pradesh,27.03016895,95.49791754505583
34,Upper Dibang Valley,Arunachal Pradesh,28.7,95.7
35,Upper Siang,Arunachal Pradesh,28.73120455,95.03773151350946
36,Upper Subansiri,Arunachal Pradesh,28.3,94.0
37,West Kameng,Arunachal Pradesh,27.4,92.35
38,West Siang,Arunachal Pradesh,28.4,94.55
39,Baksa,Assam,26.62781825,91.46148578057333
40,Barpeta,Assam,26.34142215,91.01674328474073
41,Biswanath,Assam,26.7773957,93.25694367444689
42,Bongaigaon,Assam,26.4800126,90.5580387
43,Cachar,Assam,24.758639950000003,92.88166475768219
44,Charaideo,Assam,27.06971635,95.06426298389661
45,Chirang,Assam,26.6464231,90.62415698729875
46,Darrang,Assam,26.75,92.5
47,Dhemaji,Assam,27.466831499999998,94.51786508708852
48,Dhubri,Assam,26.01894625,89.94188952461522
49,Dibrugarh,Assam,27.4844597,94.9019447
50,Dima Hasao,Assam,25.400362549999997,93.07522922678905
51,Goalpara,Assam,26.1783623,90.6226683
52,Golaghat,Assam,26.40490095,94.03209112120626
53,Hailakandi,Assam,24.68845365,92.57381528240944
54,Hojai,Assam,26.009390850000003,92.84879014262606
55,Jorhat,Assam,26.7577925,94.2079645
56,Kamrup,Assam,26.12755515,91.2998714797357
57,Kamrup Metropolitan,Assam,26.13526375,91.86167062524619
58,Karbi Anglong,Assam,26.0,93.5
59,Karimganj,Assam,24.8483482,92.33221292310328
60,Kokrajhar,Assam,26.58687695,90.29293105124796
61,Lakhimpur,Assam,27.0827158,93.9978423
62,Majuli,Assam,27.021952849999998,94.32742302965544
63,Morigaon,Assam,26.2578325,92.3419427
64,Nagaon,Assam,26.30414915,92.71605974430346
65,Nalbari,Assam,26.42386165,91.4512275462117
66,Sivasagar,Assam,26.9834936,94.6394226
67,Sonitpur,Assam,26.767770749999997,92.70140885850532
68,South Salmara Mankachar,Assam,25.7604472,89.8928061082699
69,Tinsukia,Assam,27.52016575,95.5306347312879
70,Udalguri,Assam,26.776480300000003,92.10537533897156
71,West Karbi Anglong,Assam,25.85291415,92.58756812404593
72,Araria,Bihar,26.26498795,87.37162648106798
73,Arwal,Bihar,25.180777149999997,84.65920203021554
74,Aurangabad,Bihar,24.75,84.5
75,Banka,Bihar,24.8655681,86.87278642295597
76,Begusarai,Bihar,25.5127194,86.09057109140021
77,Bhagalpur,Bihar,25.28669805,87.13225355111148
78,Bhojpur,Bihar,25.25,84.25
79,Buxar,Bihar,25.562071500000002,84.01567204651289
80,Darbhanga,Bihar,26.08314325,86.03257096612822
81,Gaya,Bihar,24.7964355,85.0079563
82,Gopalganj,Bihar,26.4207265,84.37406407415165
83,Jamui,Bihar,24.967852049999998,86.17351147289283
84,Jehanabad,Bihar,25.15247135,85.00687848982191
85,Kaimur,Bihar,24.974864349999997,83.57643904700731
86,Katihar,Bihar,25.560900349999997,87.64765353997149
87,Khagaria,Bihar,25.4916868,86.69910848212217
88,Kishanganj,Bihar,26.29863795,87.95314810923409
89,Lakhisarai,Bihar,25.167702900000002,86.05935924304018
90,Madhepura,Bihar,25.9259562,86.82042961035677
91,Madhubani,Bihar,26.350071999999997,86.22914688962271
92,Munger,Bihar,25.22081165,86.51720367235285
93,Muzaffarpur,Bihar,26.1486581,85.34001282479626
94,Nalanda,Bihar,25.1364914,85.44365464855682
95,Nawada,Bihar,24.818123999999997,85.5185562336921
96,West Champaran,Bihar,26.6919717,84.5796928
97,Patna,Bihar,25.6093239,85.1235252
98,East Champaran,Bihar,26.6460551,84.9135447
99,Purnia,Bihar,25.7773601,87.4731227
100,Rohtas,Bihar,24.93928775,84.01945448852067
101,Saharsa,Bihar,25.83264165,86.61489283342814
102,Samastipur,Bihar,25.7744929,85.86626813370123
103,Saran,Bihar,25.90835495,84.78074760594323
104,Sheikhpura,Bihar,25.12635425,85.81510620944194
105,Sheohar,Bihar,26.49436945,85.27280559513999
106,Sitamarhi,Bihar,26.5876547,85.5056744
107,Siwan,Bihar,26.1310043,84.39125660595198
108,Supaul,Bihar,26.2768118,86.79658662614811
109,Vaishali,Bihar,25.75,85.416667
110,Chandigarh,Chandigarh,30.7334421,76.7797143
111,Balod,Chhattisgarh,20.73218365,81.14335738365043
112,Baloda Bazar,Chhattisgarh,21.572645950000002,82.43670691696435
113,Balrampur,Chhattisgarh,23.6263016,83.48245091656527
114,Bastar,Chhattisgarh,19.11912825,81.82918648971713
115,Bijapur,Chhattisgarh,18.769041350000002,80.74151192966231
116,Bilaspur,Chhattisgarh,22.383333,82.133333
